model_id,table1_rows,table1_columns,horizon,hp_set,prediction_on,id,id2
214,Base specification,Escalation,6 months,Default,train-cv,Repeat21,Fold2
215,Base specification,Escalation,6 months,Default,test,NA,NA
216,Base specification,Escalation,6 months,Tuned,train-cv,Repeat01,Fold1
217,Base specification,Escalation,6 months,Tuned,train-cv,Repeat01,Fold2
218,Base specification,Escalation,6 months,Tuned,train-cv,Repeat02,Fold1
219,Base specification,Escalation,6 months,Tuned,train-cv,Repeat02,Fold2
220,Base specification,Escalation,6 months,Tuned,train-cv,Repeat03,Fold1
221,Base specification,Escalation,6 months,Tuned,train-cv,Repeat03,Fold2
222,Base specification,Escalation,6 months,Tuned,train-cv,Repeat04,Fold1
223,Base specification,Escalation,6 months,Tuned,train-cv,Repeat04,Fold2
224,Base specification,Escalation,6 months,Tuned,train-cv,Repeat05,Fold1
225,Base specification,Escalation,6 months,Tuned,train-cv,Repeat05,Fold2
226,Base specification,Escalation,6 months,Tuned,train-cv,Repeat06,Fold1
227,Base specification,Escalation,6 months,Tuned,train-cv,Repeat06,Fold2
228,Base specification,Escalation,6 months,Tuned,train-cv,Repeat07,Fold1
229,Base specification,Escalation,6 months,Tuned,train-cv,Repeat07,Fold2
230,Base specification,Escalation,6 months,Tuned,train-cv,Repeat08,Fold1
231,Base specification,Escalation,6 months,Tuned,train-cv,Repeat08,Fold2
232,Base specification,Escalation,6 months,Tuned,train-cv,Repeat09,Fold1
233,Base specification,Escalation,6 months,Tuned,train-cv,Repeat09,Fold2
234,Base specification,Escalation,6 months,Tuned,train-cv,Repeat10,Fold1
235,Base specification,Escalation,6 months,Tuned,train-cv,Repeat10,Fold2
236,Base specification,Escalation,6 months,Tuned,train-cv,Repeat11,Fold1
237,Base specification,Escalation,6 months,Tuned,train-cv,Repeat11,Fold2
238,Base specification,Escalation,6 months,Tuned,train-cv,Repeat12,Fold1
239,Base specification,Escalation,6 months,Tuned,train-cv,Repeat12,Fold2
240,Base specification,Escalation,6 months,Tuned,train-cv,Repeat13,Fold1
241,Base specification,Escalation,6 months,Tuned,train-cv,Repeat13,Fold2
242,Base specification,Escalation,6 months,Tuned,train-cv,Repeat14,Fold1
243,Base specification,Escalation,6 months,Tuned,train-cv,Repeat14,Fold2
244,Base specification,Escalation,6 months,Tuned,train-cv,Repeat15,Fold1
245,Base specification,Escalation,6 months,Tuned,train-cv,Repeat15,Fold2
246,Base specification,Escalation,6 months,Tuned,train-cv,Repeat16,Fold1
247,Base specification,Escalation,6 months,Tuned,train-cv,Repeat16,Fold2
248,Base specification,Escalation,6 months,Tuned,train-cv,Repeat17,Fold1
249,Base specification,Escalation,6 months,Tuned,train-cv,Repeat17,Fold2
250,Base specification,Escalation,6 months,Tuned,train-cv,Repeat18,Fold1
251,Base specification,Escalation,6 months,Tuned,train-cv,Repeat18,Fold2
252,Base specification,Escalation,6 months,Tuned,train-cv,Repeat19,Fold1
253,Base specification,Escalation,6 months,Tuned,train-cv,Repeat19,Fold2
254,Base specification,Escalation,6 months,Tuned,train-cv,Repeat20,Fold1
255,Base specification,Escalation,6 months,Tuned,train-cv,Repeat20,Fold2
256,Base specification,Escalation,6 months,Tuned,train-cv,Repeat21,Fold1
257,Base specification,Escalation,6 months,Tuned,train-cv,Repeat21,Fold2
258,Base specification,Escalation,6 months,Tuned,test,NA,NA
259,Base specification,Quad,1 month,B&S,train-cv,Repeat01,Fold1
260,Base specification,Quad,1 month,B&S,train-cv,Repeat01,Fold2
261,Base specification,Quad,1 month,B&S,train-cv,Repeat02,Fold1
262,Base specification,Quad,1 month,B&S,train-cv,Repeat02,Fold2
263,Base specification,Quad,1 month,B&S,train-cv,Repeat03,Fold1
264,Base specification,Quad,1 month,B&S,train-cv,Repeat03,Fold2
265,Base specification,Quad,1 month,B&S,train-cv,Repeat04,Fold1
266,Base specification,Quad,1 month,B&S,train-cv,Repeat04,Fold2
267,Base specification,Quad,1 month,B&S,train-cv,Repeat05,Fold1
268,Base specification,Quad,1 month,B&S,train-cv,Repeat05,Fold2
269,Base specification,Quad,1 month,B&S,train-cv,Repeat06,Fold1
270,Base specification,Quad,1 month,B&S,train-cv,Repeat06,Fold2
271,Base specification,Quad,1 month,B&S,train-cv,Repeat07,Fold1
272,Base specification,Quad,1 month,B&S,train-cv,Repeat07,Fold2
273,Base specification,Quad,1 month,B&S,train-cv,Repeat08,Fold1
274,Base specification,Quad,1 month,B&S,train-cv,Repeat08,Fold2
275,Base specification,Quad,1 month,B&S,train-cv,Repeat09,Fold1
276,Base specification,Quad,1 month,B&S,train-cv,Repeat09,Fold2
277,Base specification,Quad,1 month,B&S,train-cv,Repeat10,Fold1
278,Base specification,Quad,1 month,B&S,train-cv,Repeat10,Fold2
279,Base specification,Quad,1 month,B&S,train-cv,Repeat11,Fold1
280,Base specification,Quad,1 month,B&S,train-cv,Repeat11,Fold2
281,Base specification,Quad,1 month,B&S,train-cv,Repeat12,Fold1
282,Base specification,Quad,1 month,B&S,train-cv,Repeat12,Fold2
283,Base specification,Quad,1 month,B&S,train-cv,Repeat13,Fold1
284,Base specification,Quad,1 month,B&S,train-cv,Repeat13,Fold2
285,Base specification,Quad,1 month,B&S,train-cv,Repeat14,Fold1
286,Base specification,Quad,1 month,B&S,train-cv,Repeat14,Fold2
287,Base specification,Quad,1 month,B&S,train-cv,Repeat15,Fold1
288,Base specification,Quad,1 month,B&S,train-cv,Repeat15,Fold2
289,Base specification,Quad,1 month,B&S,train-cv,Repeat16,Fold1
290,Base specification,Quad,1 month,B&S,train-cv,Repeat16,Fold2
291,Base specification,Quad,1 month,B&S,train-cv,Repeat17,Fold1
292,Base specification,Quad,1 month,B&S,train-cv,Repeat17,Fold2
293,Base specification,Quad,1 month,B&S,train-cv,Repeat18,Fold1
294,Base specification,Quad,1 month,B&S,train-cv,Repeat18,Fold2
295,Base specification,Quad,1 month,B&S,train-cv,Repeat19,Fold1
296,Base specification,Quad,1 month,B&S,train-cv,Repeat19,Fold2
297,Base specification,Quad,1 month,B&S,train-cv,Repeat20,Fold1
298,Base specification,Quad,1 month,B&S,train-cv,Repeat20,Fold2
299,Base specification,Quad,1 month,B&S,train-cv,Repeat21,Fold1
300,Base specification,Quad,1 month,B&S,train-cv,Repeat21,Fold2
301,Base specification,Quad,1 month,B&S,test,NA,NA
302,Base specification,Quad,1 month,Default,train-cv,Repeat01,Fold1
303,Base specification,Quad,1 month,Default,train-cv,Repeat01,Fold2
304,Base specification,Quad,1 month,Default,train-cv,Repeat02,Fold1
305,Base specification,Quad,1 month,Default,train-cv,Repeat02,Fold2
